total_spent_so_far,day_of_month,avg_daily_spend,food_spend,transport_spend,shopping_spend,bnpl_spend,entertainment_spend,days_remaining,budget,spend_ratio,income,bnpl_total,num_loans,savings,bnpl_ratio,savings_ratio,persona,has_bnpl,description,actual_month_total,risk_score
146.49,14,10.46,60.47,23.34,20.23,0.0,12.77,16,223.87,0.654,261.99,0.0,0,2.44,0.0,0.009,allowance,0,"Phnom Penh family allowance, no job",283.12,5.23
164.66,17,9.69,75.04,28.79,21.97,0.0,14.5,13,203.13,0.811,248.36,0.0,0,19.35,0.0,0.078,allowance,0,"Phnom Penh family allowance, no job",270.64,4.31
243.51,26,9.37,109.42,37.88,33.47,0.0,20.26,4,237.58,1.025,276.98,0.0,0,9.91,0.0,0.036,allowance,0,"Phnom Penh family allowance, no job",277.25,12.18
208.69,26,8.03,96.23,39.15,24.21,0.0,17.07,4,182.68,1.142,223.79,0.0,0,7.71,0.0,0.034,allowance,0,"Phnom Penh family allowance, no job",232.78,20.62
49.41,5,9.88,18.93,8.48,6.76,0.0,3.64,25,227.1,0.218,294.75,0.0,0,4.01,0.0,0.014,allowance,0,"Phnom Penh family allowance, no job",282.59,7.08
229.52,28,8.2,96.57,40.6,27.05,26.84,18.44,2,185.09,1.24,244.71,80.53,1,0.0,0.329,0.0,allowance,1,"Phnom Penh family allowance, no job",241.58,54.6
335.1,30,11.17,145.93,53.45,38.76,47.85,25.22,0,288.26,1.162,344.93,143.54,2,0.0,0.416,0.0,allowance,1,"Phnom Penh family allowance, no job",335.1,64.16
166.86,9,18.54,73.35,30.55,23.78,0.0,12.09,21,283.04,0.59,331.92,0.0,0,24.14,0.0,0.073,allowance,0,"Phnom Penh family allowance, no job",545.52,3.45
150.14,16,9.38,67.4,27.08,20.54,0.0,10.72,14,244.55,0.614,310.54,0.0,0,0.21,0.0,0.001,allowance,0,"Phnom Penh family allowance, no job",287.56,8.32
85.88,8,10.74,31.81,13.29,12.39,0.0,7.31,22,267.25,0.321,321.6,0.0,0,4.67,0.0,0.015,allowance,0,"Phnom Penh family allowance, no job",308.17,7.12
100.59,10,10.06,43.96,17.58,14.45,17.85,8.08,20,221.3,0.455,302.03,53.54,1,0.0,0.177,0.0,allowance,1,"Phnom Penh family allowance, no job",283.64,22.69
103.06,9,11.45,43.97,16.79,14.13,0.0,8.55,21,247.94,0.416,273.67,0.0,0,14.41,0.0,0.053,allowance,0,"Phnom Penh family allowance, no job",361.23,7.28
263.06,24,10.96,114.65,40.2,32.16,0.0,22.17,6,243.36,1.081,283.35,0.0,0,19.23,0.0,0.068,allowance,0,"Phnom Penh family allowance, no job",320.08,18.95
121.54,8,15.19,47.86,18.18,16.95,0.0,10.48,22,261.01,0.466,316.86,0.0,0,4.1,0.0,0.013,allowance,0,"Phnom Penh family allowance, no job",426.86,1.96
121.35,13,9.33,52.14,20.9,15.09,0.0,10.36,17,225.52,0.538,287.78,0.0,0,8.97,0.0,0.031,allowance,0,"Phnom Penh family allowance, no job",251.69,9.74
174.9,17,10.29,81.75,30.2,20.72,0.0,13.68,13,252.93,0.691,286.27,0.0,0,11.85,0.0,0.041,allowance,0,"Phnom Penh family allowance, no job",287.55,5.84
371.91,29,12.82,154.46,60.61,46.2,0.0,26.44,1,275.37,1.351,340.02,0.0,0,5.42,0.0,0.016,allowance,0,"Phnom Penh family allowance, no job",371.91,22.56
291.64,25,11.67,127.85,45.93,37.0,0.0,23.28,5,278.25,1.048,320.38,0.0,0,8.59,0.0,0.027,allowance,0,"Phnom Penh family allowance, no job",368.54,15.6
251.64,25,10.07,108.32,41.82,30.18,51.94,21.52,5,250.76,1.004,307.43,155.82,2,0.0,0.507,0.0,allowance,1,"Phnom Penh family allowance, no job",283.44,56.28
67.87,5,13.57,30.92,10.99,8.85,40.82,5.9,25,192.49,0.353,241.29,122.47,2,0.0,0.508,0.0,allowance,1,"Phnom Penh family allowance, no job",386.54,49.2
73.29,4,18.32,28.11,12.23,10.17,0.0,5.2,26,273.02,0.268,300.64,0.0,0,2.0,0.0,0.007,allowance,0,"Phnom Penh family allowance, no job",516.77,4.71
307.49,26,11.83,118.51,58.26,35.85,37.59,24.8,4,244.87,1.256,336.1,112.76,2,0.0,0.335,0.0,allowance,1,"Phnom Penh family allowance, no job",385.56,53.98
134.89,14,9.63,55.13,24.82,17.02,29.57,11.65,16,201.14,0.671,234.82,88.72,1,0.0,0.378,0.0,allowance,1,"Phnom Penh family allowance, no job",293.46,35.57
158.38,20,7.92,69.86,27.05,22.96,0.0,13.26,10,171.7,0.922,208.13,0.0,0,10.34,0.0,0.05,allowance,0,"Phnom Penh family allowance, no job",234.49,8.17
113.47,8,14.18,42.0,20.28,14.45,33.02,8.41,22,290.53,0.391,335.36,99.05,1,0.0,0.295,0.0,allowance,1,"Phnom Penh family allowance, no job",465.31,34.82
182.53,17,10.74,67.97,28.54,21.22,0.0,15.29,13,282.64,0.646,319.01,0.0,0,14.82,0.0,0.046,allowance,0,"Phnom Penh family allowance, no job",292.24,0.76
125.54,11,11.41,51.48,23.6,15.34,0.0,10.12,19,258.65,0.485,303.59,0.0,0,17.49,0.0,0.058,allowance,0,"Phnom Penh family allowance, no job",333.61,13.42
264.81,29,9.13,106.01,43.17,33.89,39.58,21.8,1,211.62,1.251,285.47,118.74,2,0.0,0.416,0.0,allowance,1,"Phnom Penh family allowance, no job",264.81,59.78
171.22,23,7.44,63.52,28.08,20.63,0.0,12.94,7,180.32,0.95,212.66,0.0,0,4.18,0.0,0.02,allowance,0,"Phnom Penh family allowance, no job",206.54,12.44
190.63,25,7.63,73.0,30.58,21.96,0.0,14.83,5,192.16,0.992,248.97,0.0,0,8.85,0.0,0.036,allowance,0,"Phnom Penh family allowance, no job",245.08,15.01
75.78,7,10.83,29.87,12.76,10.81,0.0,6.6,23,216.0,0.351,278.34,0.0,0,5.97,0.0,0.021,allowance,0,"Phnom Penh family allowance, no job",301.74,11.03
163.85,20,8.19,65.21,29.73,20.69,0.0,14.11,10,177.72,0.922,219.35,0.0,0,16.05,0.0,0.073,allowance,0,"Phnom Penh family allowance, no job",276.45,3.99
252.99,18,14.06,94.21,41.35,33.07,0.0,20.32,12,262.12,0.965,299.4,0.0,0,1.57,0.0,0.005,allowance,0,"Phnom Penh family allowance, no job",436.68,13.29
30.34,3,10.11,13.43,4.85,4.05,0.0,2.55,27,206.45,0.147,240.73,0.0,0,4.0,0.0,0.017,allowance,0,"Phnom Penh family allowance, no job",309.73,0.69
212.19,16,13.26,97.66,34.85,27.46,0.0,18.62,14,289.98,0.732,329.09,0.0,0,17.08,0.0,0.052,allowance,0,"Phnom Penh family allowance, no job",385.95,1.88
17.64,1,17.64,8.1,2.9,2.12,0.0,1.54,29,280.42,0.063,336.91,0.0,0,20.86,0.0,0.062,allowance,0,"Phnom Penh family allowance, no job",515.89,0.9
293.31,24,12.22,120.41,46.66,33.83,0.0,25.42,6,284.89,1.03,345.05,0.0,0,27.43,0.0,0.079,allowance,0,"Phnom Penh family allowance, no job",369.68,11.85
29.1,4,7.28,12.16,5.54,3.7,25.38,2.15,26,186.95,0.156,259.57,76.13,1,0.0,0.293,0.0,allowance,1,"Phnom Penh family allowance, no job",210.02,32.95
57.7,11,5.25,26.85,10.95,7.02,42.74,4.8,19,144.08,0.401,215.83,128.23,2,0.0,0.594,0.0,allowance,1,"Phnom Penh family allowance, no job",154.15,57.96
346.11,24,14.42,133.78,65.75,44.48,48.59,25.2,6,286.35,1.209,335.45,145.77,2,0.0,0.435,0.0,allowance,1,"Phnom Penh family allowance, no job",399.63,58.48
68.12,8,8.52,30.91,11.55,8.99,0.0,5.28,22,215.31,0.316,276.64,0.0,0,10.07,0.0,0.036,allowance,0,"Phnom Penh family allowance, no job",242.1,8.27
395.38,29,13.63,157.08,62.74,49.33,0.0,30.52,1,298.18,1.326,348.02,0.0,0,14.71,0.0,0.042,allowance,0,"Phnom Penh family allowance, no job",446.12,21.07
391.42,29,13.5,181.1,70.66,45.81,0.0,31.08,1,312.21,1.254,339.91,0.0,0,26.68,0.0,0.078,allowance,0,"Phnom Penh family allowance, no job",391.42,9.35
128.64,17,7.57,51.81,20.33,16.33,38.26,10.14,13,158.42,0.812,200.93,114.78,2,0.0,0.571,0.0,allowance,1,"Phnom Penh family allowance, no job",235.67,52.26
434.8,30,14.49,202.85,69.33,60.08,0.0,35.4,0,320.95,1.355,349.34,0.0,0,24.05,0.0,0.069,allowance,0,"Phnom Penh family allowance, no job",438.54,20.98
84.35,7,12.05,31.86,14.77,11.93,35.93,7.3,23,253.81,0.332,334.6,107.79,2,0.0,0.322,0.0,allowance,1,"Phnom Penh family allowance, no job",373.3,43.72
250.25,24,10.43,116.5,41.15,34.76,0.0,20.9,6,232.43,1.077,264.12,0.0,0,11.21,0.0,0.042,allowance,0,"Phnom Penh family allowance, no job",304.77,15.96
252.5,29,8.71,118.23,38.24,32.57,0.0,19.84,1,219.1,1.152,291.51,0.0,0,21.81,0.0,0.075,allowance,0,"Phnom Penh family allowance, no job",274.76,12.55
23.8,2,11.9,10.96,4.44,3.0,0.0,1.81,28,263.76,0.09,311.8,0.0,0,9.87,0.0,0.032,allowance,0,"Phnom Penh family allowance, no job",343.25,3.12
256.77,24,10.7,115.25,38.56,36.68,0.0,19.43,6,258.49,0.993,298.8,0.0,0,6.69,0.0,0.022,allowance,0,"Phnom Penh family allowance, no job",300.16,13.96
300.89,30,10.03,115.3,51.4,35.07,0.0,22.25,0,218.26,1.379,265.95,0.0,0,13.62,0.0,0.051,allowance,0,"Phnom Penh family allowance, no job",300.89,18.14
97.91,10,9.79,44.3,18.51,11.89,55.8,7.03,20,207.22,0.473,283.3,167.39,2,0.0,0.591,0.0,allowance,1,"Phnom Penh family allowance, no job",313.67,57.51
44.87,6,7.48,19.54,7.49,6.5,0.0,3.25,24,168.95,0.266,222.54,0.0,0,17.66,0.0,0.079,allowance,0,"Phnom Penh family allowance, no job",209.07,7.36
144.87,22,6.58,58.66,25.36,17.44,43.28,10.61,8,144.44,1.003,205.93,129.85,2,0.0,0.631,0.0,allowance,1,"Phnom Penh family allowance, no job",177.48,57.59
276.65,24,11.53,105.66,46.37,32.06,43.08,22.23,6,231.15,1.197,311.51,129.24,2,0.0,0.415,0.0,allowance,1,"Phnom Penh family allowance, no job",355.08,62.24
267.95,29,9.24,119.69,42.9,36.29,0.0,22.19,1,190.06,1.41,234.17,0.0,0,5.18,0.0,0.022,allowance,0,"Phnom Penh family allowance, no job",267.95,26.23
241.16,30,8.04,109.6,39.91,31.57,0.0,17.07,0,187.46,1.286,240.06,0.0,0,0.25,0.0,0.001,allowance,0,"Phnom Penh family allowance, no job",245.84,22.19
130.11,14,9.29,53.27,23.92,17.46,12.76,9.58,16,167.79,0.775,224.75,38.29,1,0.0,0.17,0.0,allowance,1,"Phnom Penh family allowance, no job",290.65,28.04
27.36,4,6.84,10.42,4.74,3.4,0.0,2.13,26,175.02,0.156,225.81,0.0,0,10.18,0.0,0.045,allowance,0,"Phnom Penh family allowance, no job",200.35,10.07
110.02,12,9.17,41.33,16.47,15.69,0.0,9.74,18,188.76,0.583,249.38,0.0,0,18.72,0.0,0.075,allowance,0,"Phnom Penh family allowance, no job",263.66,7.83
197.07,22,8.96,78.55,32.31,23.86,0.0,15.93,8,186.05,1.059,222.74,0.0,0,4.4,0.0,0.02,allowance,0,"Phnom Penh family allowance, no job",281.49,15.62
161.45,21,7.69,73.53,26.34,23.14,0.0,13.05,9,194.64,0.829,218.75,0.0,0,7.96,0.0,0.036,allowance,0,"Phnom Penh family allowance, no job",238.93,1.36
105.71,9,11.75,43.45,19.48,12.92,0.0,8.08,21,205.32,0.515,251.13,0.0,0,6.44,0.0,0.026,allowance,0,"Phnom Penh family allowance, no job",318.74,8.8
32.77,4,8.19,12.44,4.98,4.56,0.0,2.7,26,195.81,0.167,258.34,0.0,0,8.84,0.0,0.034,allowance,0,"Phnom Penh family allowance, no job",262.66,6.2
234.03,30,7.8,95.9,44.48,28.43,0.0,17.66,0,170.72,1.371,209.36,0.0,0,11.02,0.0,0.053,allowance,0,"Phnom Penh family allowance, no job",254.65,30.93
362.01,27,13.41,140.5,58.76,47.73,0.0,26.42,3,256.3,1.412,303.12,0.0,0,16.12,0.0,0.053,allowance,0,"Phnom Penh family allowance, no job",427.67,23.79
210.93,28,7.53,89.18,34.34,29.33,0.0,18.46,2,194.98,1.082,216.4,0.0,0,13.21,0.0,0.061,allowance,0,"Phnom Penh family allowance, no job",210.93,15.14
255.8,29,8.82,103.18,39.08,29.79,0.0,21.74,1,242.16,1.056,265.58,0.0,0,8.34,0.0,0.031,allowance,0,"Phnom Penh family allowance, no job",275.3,12.8
114.47,8,14.31,51.54,20.71,14.88,45.18,9.86,22,212.05,0.54,302.79,135.55,2,0.0,0.448,0.0,allowance,1,"Phnom Penh family allowance, no job",452.67,50.0
148.82,17,8.75,65.8,22.56,21.07,0.0,12.36,13,206.67,0.72,249.46,0.0,0,10.11,0.0,0.041,allowance,0,"Phnom Penh family allowance, no job",242.96,10.04
212.68,30,7.09,91.8,34.96,25.6,42.67,17.55,0,154.64,1.375,217.43,128.02,2,0.0,0.589,0.0,allowance,1,"Phnom Penh family allowance, no job",218.9,73.33
203.53,15,13.57,87.65,38.5,29.52,0.0,16.39,15,278.36,0.731,307.7,0.0,0,19.03,0.0,0.062,allowance,0,"Phnom Penh family allowance, no job",383.59,10.41
57.86,6,9.64,24.33,9.22,7.31,0.0,4.19,24,220.72,0.262,279.67,0.0,0,12.64,0.0,0.045,allowance,0,"Phnom Penh family allowance, no job",298.67,4.24
67.41,12,5.62,28.49,10.79,8.36,22.03,5.35,18,154.13,0.437,211.42,66.1,2,0.0,0.313,0.0,allowance,1,"Phnom Penh family allowance, no job",182.82,42.7
153.04,12,12.75,70.36,25.91,18.06,0.0,11.76,18,270.77,0.565,340.53,0.0,0,0.19,0.0,0.001,allowance,0,"Phnom Penh family allowance, no job",344.34,0.0
160.77,13,12.37,59.55,24.74,22.7,0.0,11.58,17,289.49,0.555,333.97,0.0,0,20.3,0.0,0.061,allowance,0,"Phnom Penh family allowance, no job",341.9,7.32
113.85,12,9.49,52.66,19.32,16.32,0.0,8.19,18,227.76,0.5,290.04,0.0,0,6.72,0.0,0.023,allowance,0,"Phnom Penh family allowance, no job",308.87,3.41
52.86,5,10.57,20.07,8.74,7.56,0.0,4.27,25,267.99,0.197,317.56,0.0,0,18.17,0.0,0.057,allowance,0,"Phnom Penh family allowance, no job",298.62,10.42
93.28,7,13.33,41.41,17.19,13.35,0.0,7.97,23,201.05,0.464,219.81,0.0,0,13.92,0.0,0.063,allowance,0,"Phnom Penh family allowance, no job",371.45,0.89
177.25,20,8.86,73.0,27.27,22.73,0.0,15.23,10,207.42,0.855,237.36,0.0,0,0.65,0.0,0.003,allowance,0,"Phnom Penh family allowance, no job",259.49,3.57
229.2,18,12.73,85.18,36.08,30.4,37.36,16.8,12,246.49,0.93,344.14,112.08,2,0.0,0.326,0.0,allowance,1,"Phnom Penh family allowance, no job",366.97,49.51
71.71,8,8.96,30.58,11.79,8.66,0.0,5.87,22,239.89,0.299,290.59,0.0,0,20.31,0.0,0.07,allowance,0,"Phnom Penh family allowance, no job",246.98,16.1
177.34,15,11.82,82.58,32.08,21.39,0.0,15.81,15,238.43,0.744,305.01,0.0,0,6.68,0.0,0.022,allowance,0,"Phnom Penh family allowance, no job",341.88,13.01
88.86,8,11.11,39.38,14.41,10.9,0.0,7.28,22,228.19,0.389,266.38,0.0,0,1.27,0.0,0.005,allowance,0,"Phnom Penh family allowance, no job",341.8,13.76
125.34,13,9.64,46.85,21.92,15.28,40.08,9.24,17,204.68,0.612,278.44,120.23,2,0.0,0.432,0.0,allowance,1,"Phnom Penh family allowance, no job",289.31,46.48
169.85,21,8.09,73.96,28.05,21.55,0.0,13.59,9,164.71,1.031,211.79,0.0,0,15.11,0.0,0.071,allowance,0,"Phnom Penh family allowance, no job",237.68,16.46
288.65,30,9.62,114.18,52.84,35.52,0.0,23.97,0,240.55,1.2,303.03,0.0,0,1.03,0.0,0.003,allowance,0,"Phnom Penh family allowance, no job",305.53,18.88
153.37,20,7.67,68.48,26.53,21.44,0.0,11.02,10,177.02,0.866,211.98,0.0,0,0.61,0.0,0.003,allowance,0,"Phnom Penh family allowance, no job",219.85,7.71
211.92,19,11.15,86.58,40.02,27.11,15.51,17.3,11,246.55,0.86,335.49,46.54,1,0.0,0.139,0.0,allowance,1,"Phnom Penh family allowance, no job",376.93,27.84
94.17,12,7.85,37.67,17.33,11.8,0.0,7.04,18,217.14,0.434,256.26,0.0,0,3.26,0.0,0.013,allowance,0,"Phnom Penh family allowance, no job",218.89,0.76
132.7,13,10.21,61.44,25.17,16.65,0.0,9.62,17,261.39,0.508,319.62,0.0,0,19.7,0.0,0.062,allowance,0,"Phnom Penh family allowance, no job",281.43,0.0
84.21,7,12.03,32.83,14.64,9.69,31.97,6.57,23,231.71,0.363,271.0,95.91,1,0.0,0.354,0.0,allowance,1,"Phnom Penh family allowance, no job",365.1,33.43
179.35,18,9.96,76.01,32.85,24.57,0.0,13.07,12,252.02,0.712,325.34,0.0,0,15.8,0.0,0.049,allowance,0,"Phnom Penh family allowance, no job",314.79,5.47
170.17,27,6.3,79.11,30.56,22.87,0.0,14.42,3,165.99,1.025,219.55,0.0,0,4.05,0.0,0.018,allowance,0,"Phnom Penh family allowance, no job",170.17,17.36
97.92,11,8.9,44.91,15.83,12.12,16.56,8.29,19,178.39,0.549,222.97,49.68,1,0.0,0.223,0.0,allowance,1,"Phnom Penh family allowance, no job",281.12,20.54
97.93,6,16.32,43.66,15.87,11.53,0.0,8.46,24,290.19,0.337,316.41,0.0,0,24.38,0.0,0.077,allowance,0,"Phnom Penh family allowance, no job",538.54,6.44
6.7,1,6.7,2.59,1.27,0.87,0.0,0.47,29,184.19,0.036,244.95,0.0,0,4.31,0.0,0.018,allowance,0,"Phnom Penh family allowance, no job",215.12,7.23
21.99,3,7.33,8.53,3.37,2.71,0.0,1.85,27,162.71,0.135,215.26,0.0,0,17.18,0.0,0.08,allowance,0,"Phnom Penh family allowance, no job",220.16,9.55
21.5,3,7.17,8.75,3.39,2.81,44.96,1.7,27,156.8,0.137,212.31,134.89,2,0.0,0.635,0.0,allowance,1,"Phnom Penh family allowance, no job",242.13,59.77
5.14,1,5.14,2.02,0.96,0.67,0.0,0.44,29,153.09,0.034,202.23,0.0,0,5.69,0.0,0.028,allowance,0,"Phnom Penh family allowance, no job",169.28,9.36
218.86,14,15.63,93.69,37.38,27.61,0.0,18.99,16,286.68,0.763,336.37,0.0,0,8.56,0.0,0.025,allowance,0,"Phnom Penh family allowance, no job",454.37,0.0
13.0,1,13.0,5.35,2.06,1.61,22.13,1.06,29,206.9,0.063,264.51,66.39,1,0.0,0.251,0.0,allowance,1,"Phnom Penh family allowance, no job",428.14,25.79
102.55,10,10.26,38.8,18.7,14.65,0.0,7.52,20,257.58,0.398,281.45,0.0,0,11.89,0.0,0.042,allowance,0,"Phnom Penh family allowance, no job",308.55,5.83
34.57,3,11.52,13.65,5.9,4.27,0.0,2.61,27,253.82,0.136,328.28,0.0,0,25.12,0.0,0.077,allowance,0,"Phnom Penh family allowance, no job",387.64,5.85
298.86,24,12.45,110.98,45.45,35.3,0.0,23.01,6,232.15,1.287,275.35,0.0,0,4.12,0.0,0.015,allowance,0,"Phnom Penh family allowance, no job",355.06,23.82
144.63,13,11.13,62.05,23.21,18.08,0.0,10.23,17,301.65,0.479,330.72,0.0,0,13.53,0.0,0.041,allowance,0,"Phnom Penh family allowance, no job",362.06,3.98
45.84,4,11.46,20.37,7.4,6.51,0.0,3.6,26,183.58,0.25,227.53,0.0,0,7.66,0.0,0.034,allowance,0,"Phnom Penh family allowance, no job",360.05,7.18
69.04,6,11.51,28.65,11.8,9.65,0.0,5.49,24,254.99,0.271,285.39,0.0,0,21.72,0.0,0.076,allowance,0,"Phnom Penh family allowance, no job",370.94,0.91
207.54,25,8.3,92.97,35.29,28.81,31.13,15.87,5,196.78,1.055,264.7,93.39,1,0.0,0.353,0.0,allowance,1,"Phnom Penh family allowance, no job",254.17,39.16
40.22,1,40.22,14.87,7.63,4.98,0.0,2.89,29,263.63,0.153,297.81,0.0,0,11.75,0.0,0.039,allowance,0,"Phnom Penh family allowance, no job",1184.26,3.43
75.71,5,15.14,31.67,12.82,8.87,0.0,6.5,25,186.84,0.405,203.74,0.0,0,2.12,0.0,0.01,allowance,0,"Phnom Penh family allowance, no job",482.22,4.91
161.41,25,6.46,60.36,26.8,18.77,0.0,12.32,5,154.15,1.047,200.65,0.0,0,12.21,0.0,0.061,allowance,0,"Phnom Penh family allowance, no job",192.89,15.87
10.79,1,10.79,4.87,1.75,1.38,0.0,0.86,29,238.52,0.045,317.11,0.0,0,20.18,0.0,0.064,allowance,0,"Phnom Penh family allowance, no job",352.62,7.4
353.1,28,12.61,157.32,54.28,51.01,0.0,30.6,2,236.23,1.495,269.91,0.0,0,10.34,0.0,0.038,allowance,0,"Phnom Penh family allowance, no job",392.39,31.08
73.88,5,14.78,27.57,12.11,9.98,0.0,5.39,25,273.37,0.27,314.35,0.0,0,4.74,0.0,0.015,allowance,0,"Phnom Penh family allowance, no job",430.72,0.0
145.19,14,10.37,58.76,26.56,17.1,17.93,11.38,16,253.71,0.572,334.61,53.79,1,0.0,0.161,0.0,allowance,1,"Phnom Penh family allowance, no job",307.27,22.76
130.41,14,9.31,58.17,21.31,18.24,32.7,9.32,16,249.97,0.522,329.2,98.11,2,0.0,0.298,0.0,allowance,1,"Phnom Penh family allowance, no job",253.1,40.36
241.85,21,11.52,112.95,39.12,30.83,0.0,18.9,9,206.29,1.172,257.8,0.0,0,10.65,0.0,0.041,allowance,0,"Phnom Penh family allowance, no job",346.02,15.12
202.87,24,8.45,81.4,35.73,26.74,32.24,16.82,6,215.58,0.941,266.41,96.72,1,0.0,0.363,0.0,allowance,1,"Phnom Penh family allowance, no job",243.5,38.57
30.47,4,7.62,13.86,5.3,4.31,0.0,2.65,26,179.64,0.17,226.37,0.0,0,17.51,0.0,0.077,allowance,0,"Phnom Penh family allowance, no job",248.87,2.18
102.25,10,10.22,46.71,16.95,13.76,0.0,7.98,20,291.13,0.351,327.26,0.0,0,22.27,0.0,0.068,allowance,0,"Phnom Penh family allowance, no job",328.85,6.63
69.93,8,8.74,27.64,12.79,9.42,45.74,6.06,22,182.25,0.384,242.1,137.22,2,0.0,0.567,0.0,allowance,1,"Phnom Penh family allowance, no job",249.01,53.66
125.56,19,6.61,46.52,22.79,17.68,0.0,10.69,11,164.01,0.766,203.59,0.0,0,5.38,0.0,0.026,allowance,0,"Phnom Penh family allowance, no job",203.45,2.69
45.9,4,11.48,20.4,7.18,6.08,0.0,4.02,26,254.21,0.181,322.42,0.0,0,3.95,0.0,0.012,allowance,0,"Phnom Penh family allowance, no job",332.63,0.0
147.41,13,11.34,67.3,25.59,19.07,0.0,10.43,17,253.31,0.582,282.71,0.0,0,5.85,0.0,0.021,allowance,0,"Phnom Penh family allowance, no job",346.03,6.24
168.82,14,12.06,64.85,28.77,21.85,0.0,13.56,16,293.39,0.575,349.02,0.0,0,15.27,0.0,0.044,allowance,0,"Phnom Penh family allowance, no job",370.61,2.98
180.79,18,10.04,80.86,28.3,21.9,0.0,14.32,12,254.55,0.71,335.08,0.0,0,17.45,0.0,0.052,allowance,0,"Phnom Penh family allowance, no job",292.24,1.58
242.01,26,9.31,108.56,45.8,32.64,0.0,19.61,4,176.35,1.372,203.35,0.0,0,8.42,0.0,0.041,allowance,0,"Phnom Penh family allowance, no job",250.81,25.35
282.39,27,10.46,122.48,50.54,37.81,0.0,22.67,3,240.02,1.177,292.7,0.0,0,17.77,0.0,0.061,allowance,0,"Phnom Penh family allowance, no job",318.28,17.88
315.59,28,11.27,121.46,49.31,42.67,0.0,26.75,2,303.25,1.041,342.77,0.0,0,12.66,0.0,0.037,allowance,0,"Phnom Penh family allowance, no job",330.89,14.91
73.97,9,8.22,32.26,12.07,9.97,0.0,5.75,21,217.0,0.341,269.3,0.0,0,5.81,0.0,0.022,allowance,0,"Phnom Penh family allowance, no job",260.57,13.13
210.57,24,8.77,97.41,36.29,27.55,43.97,16.59,6,190.08,1.108,269.14,131.91,2,0.0,0.49,0.0,allowance,1,"Phnom Penh family allowance, no job",272.66,58.79
202.42,24,8.43,89.24,31.68,24.01,0.0,18.05,6,210.26,0.963,247.55,0.0,0,12.03,0.0,0.049,allowance,0,"Phnom Penh family allowance, no job",234.56,7.88
27.64,2,13.82,11.42,4.82,3.89,34.34,2.43,28,225.1,0.123,292.3,103.02,2,0.0,0.352,0.0,allowance,1,"Phnom Penh family allowance, no job",354.67,42.7
162.89,13,12.53,67.62,30.98,20.19,0.0,12.31,17,300.53,0.542,339.68,0.0,0,26.91,0.0,0.079,allowance,0,"Phnom Penh family allowance, no job",369.94,5.81
65.19,6,10.87,27.98,11.09,8.49,0.0,5.04,24,285.48,0.228,337.88,0.0,0,2.92,0.0,0.009,allowance,0,"Phnom Penh family allowance, no job",311.8,5.95
159.78,16,9.99,69.0,25.94,20.03,29.99,13.01,14,195.28,0.818,265.79,89.98,2,0.0,0.339,0.0,allowance,1,"Phnom Penh family allowance, no job",298.8,41.15
200.1,19,10.53,84.56,34.64,26.39,11.12,15.62,11,305.7,0.655,344.48,33.35,1,6.15,0.097,0.018,allowance,1,"Phnom Penh family allowance, no job",294.8,16.15
139.7,14,9.98,59.15,24.5,20.0,38.3,11.21,16,171.55,0.814,232.38,114.91,2,0.0,0.495,0.0,allowance,1,"Phnom Penh family allowance, no job",297.14,52.85
166.35,17,9.79,78.0,31.04,24.03,0.0,14.43,13,175.24,0.949,228.75,0.0,0,5.72,0.0,0.025,allowance,0,"Phnom Penh family allowance, no job",307.19,14.31
285.42,21,13.59,123.48,48.33,37.82,0.0,24.19,9,276.35,1.033,326.8,0.0,0,14.07,0.0,0.043,allowance,0,"Phnom Penh family allowance, no job",430.24,12.73
148.87,10,14.89,63.27,25.68,17.14,0.0,12.95,20,277.78,0.536,302.34,0.0,0,9.07,0.0,0.03,allowance,0,"Phnom Penh family allowance, no job",435.43,8.22
50.5,6,8.42,20.91,7.6,6.99,39.48,4.18,24,157.72,0.32,214.79,118.43,2,0.0,0.551,0.0,allowance,1,"Phnom Penh family allowance, no job",257.52,52.03
190.52,22,8.66,72.88,33.64,25.68,0.0,14.27,8,216.75,0.879,277.11,0.0,0,11.54,0.0,0.042,allowance,0,"Phnom Penh family allowance, no job",269.38,10.0
144.95,17,8.53,56.77,24.72,17.74,0.0,10.77,13,195.37,0.742,217.55,0.0,0,16.42,0.0,0.075,allowance,0,"Phnom Penh family allowance, no job",226.77,0.0
100.35,10,10.04,43.79,16.52,14.44,40.5,7.73,20,248.12,0.404,334.8,121.51,2,0.0,0.363,0.0,allowance,1,"Phnom Penh family allowance, no job",319.59,47.14
305.08,22,13.87,134.87,56.95,42.23,0.0,22.18,8,276.53,1.103,335.96,0.0,0,9.69,0.0,0.029,allowance,0,"Phnom Penh family allowance, no job",444.64,10.45
104.6,12,8.72,41.24,18.44,12.91,0.0,8.58,18,190.09,0.55,242.68,0.0,0,4.7,0.0,0.019,allowance,0,"Phnom Penh family allowance, no job",246.8,13.77
114.86,11,10.44,47.27,21.03,15.76,47.4,9.28,19,199.06,0.577,239.98,142.2,2,0.0,0.593,0.0,allowance,1,"Phnom Penh family allowance, no job",346.63,52.16
126.02,11,11.46,54.07,21.31,16.55,0.0,8.89,19,245.02,0.514,284.9,0.0,0,12.31,0.0,0.043,allowance,0,"Phnom Penh family allowance, no job",341.72,6.25
